QHI,Đại học Công nghệ - ĐHQGHN,1,1,1
QHT,Đại học Khoa học Tự nhiên - ĐHQGHN,1,1,1
QHX,Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN,1,1,1
QHF,Đại học Ngoại ngữ - ĐHQGHN,1,1,1
QHE,Đại học Kinh tế - ĐHQGHN,1,1,1
QHS,Đại học Giáo dục - ĐHQGHN,1,1,1
QHL,Khoa Luật - ĐHQGHN,1,1,1
QHY,Khoa Y Dược - ĐHQGHN,1,1,1
QHQ,Khoa Quốc tế - ĐHQGHN,1,1,1
DTE,Đại học Kinh tế và Quản trị kinh doanh - ĐH Thái Nguyên,1,12,1
DTK,Đại học Kỹ thuật công nghiệp - ĐH Thái Nguyên,1,12,1
DTN,Đại học Nông Lâm - ĐH Thái Nguyên,1,12,1
DTS,Đại học Sư phạm - ĐH Thái Nguyên,1,12,1
DTY,Đại học Y Dược - ĐH Thái Nguyên,1,12,1
DTZ,Đại học Khoa học - ĐH Thái Nguyên,1,12,1
DTC,Đại học Công nghệ thông tin và Truyền thông - ĐH Thái Nguyên,1,12,1
DTF,Khoa Ngoại ngữ - ĐH Thái Nguyên,1,12,1
DTQ,Khoa Quốc tế - ĐH Thái Nguyên,1,12,1
DTU,Cao đẳng Kinh tế - Kỹ thuật - ĐH Thái Nguyên,1,12,2
ANH,Học viện An ninh nhân dân,1,1,1
NVH,Học viện Âm nhạc Quốc gia Việt Nam,1,1,1
TGC,Học viện Báo chí - Tuyên truyền,1,1,1
CSH,Học viện Cảnh sát nhân dân,1,1,1
HCP,Học viện Chính sách và Phát triển,1,1,1
BVH,Học viện Công nghệ Bưu chính viễn thông,1,1,1
HCH,Học viện Hành chính,1,1,1
KMA,Học viện Kỹ thuật Mật mã,1,1,1
NHH,Học viện Ngân hàng,1,1,1
HQT,Học viện Ngoại giao,1,1,1
HPN,Học viện Phụ nữ Việt Nam,1,1,1
HVQ,Học viện Quản lý giáo dục,1,1,1
HTC,Học viện Tài chính,1,1,1
HTN,Học viện Thanh thiếu niên,1,1,1
